topic_id,topic_label,n_queries,n_users,representative_queries,representative_users
0,Business Writing & Analysis,1212,269,"If the companies in this article had used sandboxing techniques could they have avoided the compromising data collection by Amazon? ||| Which of the following interdisciplinary research fields is also a subfield of AI? A. Blockchain B. Bioinformatics C. Learning Psychology D. Natural language processing  |||  Informational Prompts Explaining Concepts: ""Explain how blockchain technology works in simple terms."" Summarizing: ""Summarize the plot of The Great Gatsby."" ||| Generate a SWOT analysis for a tech startup entering the artificial intelligence tools market in 2025. ||| Explain the iron condor strategy in stock trading in a simple manner","713, 759, 686, 212, 332"
1,Creative Content Generation,786,156,"Could you write a Robert Frost inspired poem about living in a sewer with a homosexual ninja turtle ||| If the core of a star collapses, it can either form a black hole or a neutron star.  ||| Can you please make me an image of the cute Ninja Cat in a steampunk style world doing battle with a steampunk supervillain ||| design me a birthday card of a guitarist playing in a black hole ||| Any type of star can form a black hole, if the core of the star collapses. ","460, 294, 851, 329, 96"
2,Professional & Academic Writing,622,94,compose an email to the admission team to defer my academic admission offer ||| Can you help me draft a professional email to request a meeting with my boss? ||| I submitted my job application and resume after the job posting closed. Write an email to the hiring manager asking for my application to still be considered. ||| Draft invitation for overseas care workers to attend seminar at Barnsley Metrodome on 7 December 2024 starting at 10am  ||| compose an email rquestiong for a refund of my tuition fee deposit from the admission team ,"293, 227, 807, 388, 428"
3,Travel & Diet/Meal Planning,586,94,"Tell me the pros and cons of lions mane supplement, is it safe and what is the recommended dose ||| between Burger king, chick fil A, McDonalds, Subway, Taco bell and Wendy's, rate the prices. ||| Write me a 4 day meal plan for low FODMAP diet that has a mixture of vegetarian and meat based meals ||| Give me a heart healthy meal plan to diet to follow for cutting and muscle gain. ||| List me the best workout routine for someone looking to lose belly fat. ","547, 614, 139, 4, 536"
4,Personal Finance & Insurance,292,34,write a human resources policy for a nonprofit food bank prohibiting consumption of alcoholic beverage during work hours and during work events after hours ||| what steps can be taken to regain control of an insurance policy after being placed on lender placed insurance ||| Do I need to be a member of a credit union to apply for their loans ||| if i have paid enough National Insurance do I still have to pay national insurance if i retire before my state pension age? ||| write a policy for a nonprofit domestic violence shelter concerning requests for financial contributions or sponsorships made by other nonprofits,"503, 818, 644, 920, 50"
5,Speech & Video Content,254,25,"i would like a title, description, and hashtags for a video. the video is rain noises for 10 hours ||| please give me an call to action description for my channel named ""sleepy time radio"". it is a channel that offers relaxing rain sounds to sleep to ||| Explain the role of dark matter in our universe as an astrophysicist would. ||| what is entanglement in quantum mechanics ||| how would the world be layed out so that the rover can explore but there is still platforming","499, 707, 124, 866, 860"
6,Web Development,229,37,"create bootstrap responsive dropdown menu ||| What are the differences, advantages and disadvantages of peer-to-peer and clientserver architectures ||| Cisco configuration-how do i configure SSH on a cisco router to ensure secure management. ||| deploying a vercel project on a dev server ||| Give me a sample template for creating my vision board","541, 903, 785, 146, 530"
7,Legal Writing Review,170,16,"In american literature, What hardships did Bradstreet and Rowlandson encounter during the Colonial Period and how did they endure? ||| List 4  insights each on the conservation of medical plants in Otukpo metropolis for 50 respondents ||| List 20 different Additional insights on the conservation of medical plants in Otukpo metropolis ||| List 20 Additional insights on the conservation of medical plants in Otukpo metropolis  ||| Her stories never fail to be captivating and edifying.   Could that sentence be polished a bit or is it good as it stands? ","325, 420, 197, 960, 202"
8,Cooking & Food Production,190,27,"I have kamado joe paella pan, jumbo shrimp, saffron, spanish rice, paella broth, onion, garlic, how do i cook seafood paella on kamado joe ||| Make a meal plan for the week: I have chicken, vegetables, seasonings, rice, pasta, potatoes, bread, fish, milk, cheese, eggs, wraps, salad, beef mince  ||| If the chemical composition of a beef steak was written out like an ingredients list, what would it be? ||| What can I make with leftover barbacoa, tortilla chips and cheese  ||| is chicken and beef a surf and turf of a turf and turf","956, 667, 98, 963, 323"
9,Programming Debugging,167,18,"Please give me a very basic explanation of the following cell parts: cell membrane, cytoplasm, golgi apparatus, endoplasmic reticulum, nucleus, ribosome, lysosome, mitochondria, vacuole ||| Can I use a mobile phone tethered to an ubuntu PC to create a wired home network attached to an adsl wireless modem ||| Can I use a mobile phone tethered to an ubuntu PC to create a wired home network attached to a dumb switch ||| how to loop through a file and output the values comma seperated objective c ||| output a shortcode function with variable build a pseudo function for php","754, 127, 649, 983, 746"
10,Health & Social Wellbeing,146,15,How does using social media impact student mental health and wellbeing? What are the ||| How can I deal with stress during a busy workday? ||| How do societal expectations of gender impact mental health? ||| How many vacancies in adult social care in the UK  ||| What are the symptoms of anxiety disorder?,"288, 978, 912, 115, 156"
11,Puzzles & Logic Games,110,10,"What are the best practices for designing RESTful APIs, and how do I structure endpoints effectively? ||| what is a worthwhile ROAS value on etsy? ||| solve the following maths equation ||| Please solve this math equation for X: (13x-10)15=27x ||| what is carbonic maceration, who is behind it, and what are semi-carbonic maceration and variations","534, 113, 313, 967, 172"
12,UI and Data Display,111,11,"T5MTDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis ||| What is the cargo size of the 2025 Nissan Rogue Platinum? ||| Create a js function to toggle a button from being disabled ||| create a js function to toggle button being disabled ||| create a function to hide colon in woocommerce labels php","346, 762, 83, 107, 591"
