topic_id,topic_label,social_class,rank,s3_theta_rank,theta,query
0,Professional Email Drafting,Lower class,1,11.0,0.8066,"Based on the job description and my revised resume, write a cover letter to the hiring manager."
0,Professional Email Drafting,Lower class,2,19.0,0.8283,"How do you develop customer experience strategies and, how do you utilize customer feedback to ensure continuous improvement?"
0,Professional Email Drafting,Lower class,3,,0.8323,"I’m on page “Britannia Bridge - Wikipedia” with “” selected.  Please summarise the selection using precise and concise language. Use headers and bullet-pointed lists in the summary, to make it scannable. Maintain the meaning and factual accuracy."
0,Professional Email Drafting,Lower class,4,,0.768,"Actually, I want to get some thoughts from you about interpreting medical jargon. Say I encounter a research paper that I can't quite grasp because it's using terminology I'm not familiar with. Give me some ideas as to how I can better understand it"
0,Professional Email Drafting,Lower class,5,,0.7409,Example of professional summary for entry level HR professional
0,Professional Email Drafting,Lower class,6,,0.688,Please summarise the importance of Luebeck in the hanseatic league
0,Professional Email Drafting,Lower class,7,,0.688,Generate a Doctor Who story summary for me.
0,Professional Email Drafting,Lower class,8,,0.688,What might be included in a psychology personal statement?
0,Professional Email Drafting,Lower class,9,,0.688,Define the 5 main arguments against trans people.
0,Professional Email Drafting,Lower class,10,,0.688,What’s the best way to structure a presentation for a Q1 performance review?
0,Professional Email Drafting,Lower class,11,,0.688,How do I work out carbon emissions where there is no data
0,Professional Email Drafting,Lower class,12,,0.688,Can you write me a cover letter based off of this resume and job posting?
0,Professional Email Drafting,Lower class,13,,0.688,what are a/b testing campaigns on Microworkers?
0,Professional Email Drafting,Lower class,14,,0.6799,create a three sentence description for a celestial inspired jewelry collection.
0,Professional Email Drafting,Lower class,15,,0.6335,How do I format a personal statement for graduate programs?
0,Professional Email Drafting,Lower class,16,,0.6335,"Please look up the Tennessee educational standards for Grade 8 Science, latest update with full description of standards"
0,Professional Email Drafting,Lower class,17,,0.6335,Can you summarize the first chapter of this book for my research paper?
0,Professional Email Drafting,Lower class,18,,0.6079,Where can I find WordCount in Microsoft Word?
0,Professional Email Drafting,Lower class,19,,0.6079,How can a man atone for weakness
0,Professional Email Drafting,Lower class,20,,0.6079,How can this paragraph be more descriptive
0,Professional Email Drafting,Middle class,1,0.0,0.8283,List 4  insights each on the conservation of medical plants in Otukpo metropolis for 50 respondents
0,Professional Email Drafting,Middle class,2,2.0,0.8283,List 20 Additional insights on the conservation of medical plants in Otukpo metropolis
0,Professional Email Drafting,Middle class,3,7.0,0.8283,compose an email to the admission team to defer my academic admission offer
0,Professional Email Drafting,Middle class,4,8.0,0.7785,Summarise this article and extract any information necessary for my presentation
0,Professional Email Drafting,Middle class,5,15.0,0.7785,Please write a covering letter to an employer which summarises my skills.
0,Professional Email Drafting,Middle class,6,24.0,0.8066,How can employees improve both their verbal and non-verbal communication skills to create better customer experiences?
0,Professional Email Drafting,Middle class,7,25.0,0.7785,Can you write three sentences about how I was a successful people leader in the last year for my annual review
0,Professional Email Drafting,Middle class,8,27.0,0.8066,I bought some makeup online and part of  my order was missing. Please can you write me an email to send to their customer services to complain.
0,Professional Email Drafting,Middle class,9,30.0,0.7785,Please write a simple SOP document for an electrical company that focuses on the day to day operations of employees
0,Professional Email Drafting,Middle class,10,31.0,0.7785,can you make this goal more defined Complete my first picturebook project as main designer
0,Professional Email Drafting,Middle class,11,34.0,0.7785,answer tell me about yourself emphasizing skills that would make me a good office manager at a law firm
0,Professional Email Drafting,Middle class,12,,0.8924,"Assess the readability of the Summary 2 in terms of ease of understanding and clarity. It could be unclear due to poor formatting, very technical or ambiguous language, use of very long or complex sentences, etc"
0,Professional Email Drafting,Middle class,13,,0.7823,"rewrite Jacob has maintained a high standard of consistency in his first year as a shift supervisor. During this time, Jacob has demonstrated he can take on any task, and provide quality results. Jacob is proficient at managing flow balances to help maximize GWRS/SEFE and GAP productivity. Jacob maintains a high level of work quality when it comes to his log entries, data collection and input, and work assignments (PM's, routine, and special). He has proven himself to be a great leader for his crew, and he understands how to best utilize his crew given their individual strengths and weaknesses.  Jacob ensures all routine tasks such as drawdowns, plant reads, and data entry are being completed accurately by all on his shift. Jacob does well by trending any data discrepancies found on the midnight reports to ensure only accurate data is collected. Jacob sends very detailed emails when appropriate ensuring any critical information is being relayed from shift to shift.  As supervisor, Jacob prioritizes and sequences his tasks as well as those of other team members. Jacob ensures all assigned PMs are 100% completed on time every month. Jacob is proficient with Microsoft excel and has helped operations develop spreadsheets for chemical and data entry leading to higher accuracy by all the shifts."
0,Professional Email Drafting,Middle class,14,,0.7446,Why is ongoing training and feedback important for the continuous improvement of communication skills in customer service?
0,Professional Email Drafting,Middle class,15,,0.7409,What year did Piaget publish his theory of stages of development
0,Professional Email Drafting,Middle class,16,,0.7409,Can you explain the details surrounding the assassination of U.S. President John F. Kennedy in 3 or more sentences
0,Professional Email Drafting,Middle class,17,,0.7409,write a response to this emphaszing my interest in sustainabilty and previous experience working in landscape roles
0,Professional Email Drafting,Middle class,18,,0.7409,Can you draft a thank-you note for a job interview
0,Professional Email Drafting,Middle class,19,,0.7409,help me draft a professional email to my boss
0,Professional Email Drafting,Middle class,20,,0.7409,Please can you write an application letter to a school for work experience. Make it fairly informal.
0,Professional Email Drafting,Upper class,1,9.0,0.8066,Can you help me draft a professional email to request a meeting with my boss?
0,Professional Email Drafting,Upper class,2,10.0,0.8457,"Please summarize the key industry trends and observations around the Testing, Inspection, and Certification industry (TIC)"
0,Professional Email Drafting,Upper class,3,14.0,0.7785,to compile a polished statement to use in presentation and proposals
0,Professional Email Drafting,Upper class,4,23.0,0.7785,Explain the difference between Remote Procedure Calls and Remote Method Invocations.
0,Professional Email Drafting,Upper class,5,28.0,0.7785,Please extract the key notes and takeaways from the attached PDF document
0,Professional Email Drafting,Upper class,6,29.0,0.7785,Could you write a script in R to visualize employee satisfaction survey results
0,Professional Email Drafting,Upper class,7,35.0,0.7785,"Nearly a week ago, an email was sent requesting information. That email hasn't been answered. Write a follow-up email requesting the information again."
0,Professional Email Drafting,Upper class,8,,0.8716,"f you did a quarterly or bi-annual review of an individual development plan with your leader, what would you want to discuss in this meeting? What resources would you like to have available to help complete your short and long term goals"
0,Professional Email Drafting,Upper class,9,,0.7875,Can you write me a professional rejection message to be sent to an employee that has submitted a project proposal that will not be proceeding to the next stage of development
0,Professional Email Drafting,Upper class,10,,0.7409,type a  short article about the importance of time management in achieving goals
0,Professional Email Drafting,Upper class,11,,0.7409,Can you help me write a professional email to ask my boss for a meeting?
0,Professional Email Drafting,Upper class,12,,0.7409,Can you help me write a professional email to ask my manager for a meeting?
0,Professional Email Drafting,Upper class,13,,0.7409,Type a 5 paragraph essay on special education
0,Professional Email Drafting,Upper class,14,,0.7409,Summarise the following to draft a short email
0,Professional Email Drafting,Upper class,15,,0.7035,"Write an email for me, a software engineer, to ask for a raise. I had recent positive managerial feedback and successfully delivered a presentation to board members."
0,Professional Email Drafting,Upper class,16,,0.688,Can you explain the theory of relativity in simple terms?
0,Professional Email Drafting,Upper class,17,,0.688,legal stats discussion
0,Professional Email Drafting,Upper class,18,,0.688,Simplify the trigonometric expression.   (1 + cot(A))/ csc(A)
0,Professional Email Drafting,Upper class,19,,0.688,"Paraphrase this text, and provide accurate references: ""..."""
0,Professional Email Drafting,Upper class,20,,0.688,Can you help me write a professional email to a colleague
1,Creative Content Generation,Lower class,1,7.0,0.7754,Would it be a bad idea to quote lyrics from a band if my boyfriend is from a different band
1,Creative Content Generation,Lower class,2,9.0,0.7373,Girl Scout cookie promo text ideas
1,Creative Content Generation,Lower class,3,10.0,0.7373,What's the best Super Bowl snack to bring
1,Creative Content Generation,Lower class,4,12.0,0.7373,List me the best workout routine for someone looking to lose belly fat.
1,Creative Content Generation,Lower class,5,16.0,0.8039,"If 3 chefs can bake 3 cakes in 1 hour, how many chefs are needed to bake 6 cakes in 2 hours?"
1,Creative Content Generation,Lower class,6,,0.7858,"After hatching from its egg, a baby bird doubles in weight every day. On day 12 it weighs a pound. When did the bird weigh half a pound?"
1,Creative Content Generation,Lower class,7,,0.7373,Someone has offered me a lot of money for my cat.  He used to be a neighbor and really just likes the cat.  I'm heartbroken thinking about it but we really need to fix our roof and this would allow me to do that. What should I do?
1,Creative Content Generation,Lower class,8,,0.7203,"I'm feeling very well today, thank you.  Say, I did want to follow up a bit and ask for a little more support and guidance just now, OK? I just finished breakfast, and I am aware, and have lately been much more aware, of this tendency or (previously) unconscious habit, whatever it is, that almost immediately when I finish a meal, when I have decided that I have had the food I planned on and am done, then very quickly comes a kind of longing, image, looking-forward to like ""OK, now I want more"" kind of feeling.  What is that??  I mean, it's ... it seem irrational and counter to what I actually want, you know?  So, almost as soon after I eat and finish, I want more."
1,Creative Content Generation,Lower class,9,,0.7151,"I am interested in kind of *tricking?* some of my friends into a rough around the edges dnd sandbox session 0, over discord.  My idea is this: """""" 1. Get them talking about what kind of character they would like to be, under the pretense that I am planning a future session.  2. Use something like ""what if this happened?"" to kick start playing pretend.  3. Start improvising the sandbox around their choices  and just roll from there. """"""  Do you have any ideas on how to pull this off successfully, and make sure everyone has a good time?"
1,Creative Content Generation,Lower class,10,,0.7021,"Two parts again, please wait for second prompt to respond. Thank you so much, that was very beautifully written and a lovely weaving of insights from at least some if not most of the information you've had to work with in talking to me. I even teared up a bit hearing these insights reflected back to me and I saved our text - not necessarily as thoughts or connections I had not already developed myself, and indeed my journey is actually even wilder than I expressed so far with more twists and metaphysical turns - but I am certainly impressed with you and the humanlike understanding you show."
1,Creative Content Generation,Lower class,11,,0.6913,"Yes, that is all correct and a good surface level summary / response. Though I was just wondering how 'really smart' or unique you are, and you didn't even pick up on my simple song reference or allude to any of Rhodes' lyrics in your reply. That would have been clever.. This is DeepSeek version 3 right? I heard you were the best."
1,Creative Content Generation,Lower class,12,,0.6837,What is today's foreign phrase that I should know?
1,Creative Content Generation,Lower class,13,,0.6837,What are the Columbus Blue Jackets chances of making the playoffs?
1,Creative Content Generation,Lower class,14,,0.6837,What are the differences between the translated and original versions of Cinderella?
1,Creative Content Generation,Lower class,15,,0.6837,I have asked Chat gbt to write me a song about basketball.
1,Creative Content Generation,Lower class,16,,0.6837,What home remedies can treat RSV?
1,Creative Content Generation,Lower class,17,,0.6837,I used chat gbt for finding things to do on a road trip to Florida
1,Creative Content Generation,Lower class,18,,0.6837,Generate me ascii art of a cockatiel
1,Creative Content Generation,Lower class,19,,0.6837,Please can you tell me how many calories are in this Wetherspoon meal
1,Creative Content Generation,Lower class,20,,0.6837,was slavery used during the great walls construction?
1,Creative Content Generation,Middle class,1,6.0,0.7754,create me lyrics similar to young dolph's song penguins
1,Creative Content Generation,Middle class,2,20.0,0.7754,"I lost my dad on this day 2 years ago, What heartfelt message can I use when posting his picture"
